CD_CVM;DENOM_CIA;CNPJ_CIA;SETOR_ATIV;Numero_Acoes;Ticker;Tipo_Acao;Ano;Versao;Ativo Total;Ativo Circulante;Passivo Total;Passivo Circulante;Empréstimos e Financiamentos - Circulante;Passivo Não Circulante;Empréstimos e Financiamentos - Não Circulante;Patrimônio Líquido Consolidado;Receita de Venda de Bens e/ou Serviços;Custo dos Bens e/ou Serviços Vendidos;Resultado Bruto;Resultado Antes do Resultado Financeiro e dos Tributos;Resultado Financeiro;Receitas Financeiras;Despesas Financeiras;Resultado Antes dos Tributos sobre o Lucro;Lucro/Prejuízo Consolidado do Período;Caixa Líquido Atividades Operacionais;Pagamento de Dividendos;Pagamento de Dividendos à Controladora;Pagamento de Dividendos a Acionistas Não Controladores;Pagamento de Juros sobre Capital Próprio
21067;MOURA DUBEUX ENGENHARIA S/A;12.049.631/0001-84;Construção Civil, Mat. Constr. e Decoração;84582993;MDNE3;Ordinárias;2023;DFP;2819254;1064763;2819254;382836;25714;1258392;107684;1178026;799527;-533059;266468;-178907;87561;69923;-30028;39895;127456;77964;128496;;;
21067;MOURA DUBEUX ENGENHARIA S/A;12.049.631/0001-84;Construção Civil, Mat. Constr. e Decoração;84582993;MDNE3;Ordinárias;2024;DFP;3438225;1393879;3438225;584353;32164;1516291;245895;1337581;1151243;-751454;399789;-227943;171846;46814;-25458;21356;193202;-150737;322293;;;
21091;DEXCO S.A.;97.837.181/0001-47;Construção Civil, Mat. Constr. e Decoração;810404849;DXCO3;Ordinárias;2023;DFP;15624811;5173901;15624811;3264920;187988;6398327;4837703;5961564;8486650;-5614863;2871787;-1422564;1449223;384391;-916069;-531678;917545;793690;-875527;;;
21091;DEXCO S.A.;97.837.181/0001-47;Construção Civil, Mat. Constr. e Decoração;810404849;DXCO3;Ordinárias;2024;DFP;17970887;5899747;17970887;3608696;208816;7840113;5872773;6522078;7383409;-5007542;2375867;-1106213;1269654;543003;-1061410;-518407;751247;1345983;-942361;;;
21091;DEXCO S.A.;97.837.181/0001-47;Construção Civil, Mat. Constr. e Decoração;810404849;DXCO3;Ordinárias;2023;DFP;15624811;5173901;15624811;3264920;187988;6398327;4837703;5961564;8486650;-5614863;2871787;-1422564;1449223;384391;-916069;-531678;917545;793690;-875527;;;
21091;DEXCO S.A.;97.837.181/0001-47;Construção Civil, Mat. Constr. e Decoração;810404849;DXCO3;Ordinárias;2024;DFP;17970887;5899747;17970887;3608696;208816;7840113;5872773;6522078;7383409;-5007542;2375867;-1106213;1269654;543003;-1061410;-518407;751247;1345983;-942361;;;
21130;TRISUL S.A.;08.811.643/0001-27;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;179617538;TRIS3;Ordinárias;2023;DFP;2575050;1694212;2575050;423997;6902;842577;729974;1308476;760270;-535028;225242;-111136;114106;39087;-61693;-22606;91500;-271881;0;;;
21130;TRISUL S.A.;08.811.643/0001-27;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;179617538;TRIS3;Ordinárias;2024;DFP;2757738;2063152;2757738;765567;10046;601113;563788;1391058;1046690;-802171;244519;-81905;162614;47051;-51322;-4271;158343;1084;0;;;
21130;TRISUL S.A.;08.811.643/0001-27;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;179617538;TRIS3;Ordinárias;2023;DFP;2575050;1694212;2575050;423997;6902;842577;729974;1308476;760270;-535028;225242;-111136;114106;39087;-61693;-22606;91500;-271881;0;;;
21130;TRISUL S.A.;08.811.643/0001-27;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;179617538;TRIS3;Ordinárias;2024;DFP;2757738;2063152;2757738;765567;10046;601113;563788;1391058;1046690;-802171;244519;-81905;162614;47051;-51322;-4271;158343;1084;0;;;
21148;CONSTRUTORA TENDA S.A.;71.476.527/0001-35;Construção Civil, Mat. Constr. e Decoração;122578152;TEND3;Ordinárias;2023;DFP;4128354;2008988;4128354;1480765;92498;1929977;884437;717612;2412586;-2137896;274690;-590499;-315809;54509;-249781;-195272;-511081;-367338;0;;;
21148;CONSTRUTORA TENDA S.A.;71.476.527/0001-35;Construção Civil, Mat. Constr. e Decoração;122578152;TEND3;Ordinárias;2024;DFP;4545145;2530998;4545145;1544511;92795;2136197;794580;864437;2903087;-2294468;608619;-535939;72680;63145;-193896;-130751;-58071;279947;0;;;
21199;BCO PAN S.A.;59.285.411/0001-13;Bancos;593009137;BPAN4;Preferenciais;2023;DFP;55626605;6943;55626605;98196;98196;0;;42599865;12684633;-6485801;6198832;-5394403;804429;;;-136146;668283;2990154;-3038625;;;
21199;BCO PAN S.A.;59.285.411/0001-13;Bancos;593009137;BPAN4;Preferenciais;2024;DFP;57271461;6220;57271461;70327;70327;0;;44802425;15308006;-7346647;7961359;-7301112;660247;;;-68571;591676;-2478941;-3155119;;;
21237;ENEVA S.A;04.423.567/0001-21;Energia Elétrica;1915753348;ENEV3;Ordinárias;2023;DFP;41713969;5583686;41713969;5026873;68046;22951078;17231044;13736018;6128603;-4251279;1877324;-593369;1283955;540738;-1307900;-767162;516793;1268090;-1150642;;;
21237;ENEVA S.A;04.423.567/0001-21;Energia Elétrica;1915753348;ENEV3;Ordinárias;2024;DFP;43565879;6061440;43565879;4736210;67246;23892033;17581041;14937636;10090895;-6379745;3711150;-1038827;2672323;1122051;-3512817;-2390766;281557;2790182;-6772777;;;
21334;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;51.128.999/0001-90;Agricultura (Açúcar, Álcool e Cana);13233400;NUTR3;Ordinárias;2023;DFP;96648;64473;96648;26346;3060;38965;6031;31337;174794;-145719;29075;-12321;16754;1773;-7111;-5338;11416;4174;;;;
